country,year,pop,continent,lifeExp,gdpPercap,pop_millions,pop_millions_2,pop_millions_3
Australia,1952,8691212,Oceania,69.12,10039.59564,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),8.691212,8.691212
Australia,1957,9712569,Oceania,70.33,10949.64959,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),9.712569,9.712569
Australia,1962,10794968,Oceania,70.93,12217.22686,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),10.794968,10.794968
Australia,1967,11872264,Oceania,71.1,14526.12465,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),11.872264,11.872264
Australia,1972,13177000,Oceania,71.93,16788.62948,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),13.177,13.177
Australia,1977,14074100,Oceania,73.49,18334.19751,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),14.0741,14.0741
Australia,1982,15184200,Oceania,74.74,19477.00928,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),15.1842,15.1842
Australia,1987,16257249,Oceania,76.32,21888.88903,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),16.257249,16.257249
Australia,1992,17481977,Oceania,77.56,23424.76683,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),17.481977,17.481977
Australia,1997,18565243,Oceania,78.83,26997.93657,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),18.565243,18.565243
Australia,2002,19546792,Oceania,80.37,30687.75473,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),19.546792,19.546792
Australia,2007,20434176,Oceania,81.235,34435.36744,c(8.691212, 9.712569, 10.794968, 11.872264, 13.177, 14.0741, 15.1842, 16.257249, 17.481977, 18.565243, 19.546792, 20.434176),20.434176,20.434176
